customer_id,credit_score,country,gender,age,tenure
15634602,619,France,Female,42,2
15647311,608,Spain,Female,41,1
15619304,502,France,Female,42,8
15701354,699,France,Female,39,1
15737888,850,Spain,Female,43,2
15574012,645,Spain,Male,44,8
15592531,822,France,Male,50,7
15656148,376,Germany,Female,29,4
15792365,501,France,Male,44,4
15592389,684,France,Male,27,2
15767821,528,France,Male,31,6
15737173,497,Spain,Male,24,3
15632264,476,France,Female,34,10
15691483,549,France,Female,25,5
15600882,635,Spain,Female,35,7
15643966,616,Germany,Male,45,3
15737452,653,Germany,Male,58,1
15788218,549,Spain,Female,24,9
15661507,587,Spain,Male,45,6
15568982,726,France,Female,24,6
15577657,732,France,Male,41,8
15597945,636,Spain,Female,32,8
15699309,510,Spain,Female,38,4
15725737,669,France,Male,46,3
15625047,846,France,Female,38,5
15738191,577,France,Male,25,3
15736816,756,Germany,Male,36,2
15700772,571,France,Male,44,9
15728693,574,Germany,Female,43,3
15656300,411,France,Male,29,0
15589475,591,Spain,Female,39,3
15706552,533,France,Male,36,7
15750181,553,Germany,Male,41,9
15659428,520,Spain,Female,42,6
15732963,722,Spain,Female,29,9
15794171,475,France,Female,45,0
15788448,490,Spain,Male,31,3
15729599,804,Spain,Male,33,7
15717426,850,France,Male,36,7
15585768,582,Germany,Male,41,6
15619360,472,Spain,Male,40,4
15738148,465,France,Female,51,8
15687946,556,France,Female,61,2
15755196,834,France,Female,49,2
15684171,660,Spain,Female,61,5
15754849,776,Germany,Female,32,4
15602280,829,Germany,Female,27,9
15771573,637,Germany,Female,39,9
15766205,550,Germany,Male,38,2
15771873,776,Germany,Female,37,2
15616550,698,Germany,Male,44,10
15768193,585,Germany,Male,36,5
15683553,788,France,Female,33,5
15702298,655,Germany,Male,41,8
15569590,601,Germany,Male,42,1
15760861,619,France,Male,43,1
15630053,656,France,Male,45,5
15647091,725,Germany,Male,19,0
15623944,511,Spain,Female,66,4
15804771,614,France,Male,51,4
15651280,742,Germany,Male,35,5
15773469,687,Germany,Female,27,9
15702014,555,Spain,Male,33,1
15751208,684,Spain,Male,56,8
15592461,603,Germany,Male,26,4
15789484,751,Germany,Female,36,6
15696061,581,Germany,Female,34,1
15641582,735,Germany,Male,43,10
15638424,661,Germany,Female,35,5
15755648,675,France,Female,21,8
15703793,738,Germany,Male,58,2
15620344,813,France,Male,29,6
15812518,657,Spain,Female,37,0
15779052,604,Germany,Female,25,5
15770811,519,France,Male,36,9
15780961,735,France,Female,21,1
15614049,664,France,Male,55,8
15662085,678,France,Female,32,9
15575185,757,Spain,Male,33,5
15803136,416,Germany,Female,41,10
15706021,665,France,Female,34,1
15663706,777,France,Female,32,2
15641732,543,France,Female,36,3
15701164,506,France,Female,34,4
15738751,493,France,Female,46,4
15805254,652,Spain,Female,75,10
15762418,750,Spain,Male,22,3
15625759,729,France,Male,30,9
15622897,646,France,Female,46,4
15767954,635,Germany,Female,28,3
15757535,647,Spain,Female,44,5
15731511,808,France,Male,45,7
15809248,524,France,Female,36,10
15640635,769,France,Male,29,8
15676966,730,Spain,Male,42,4
15699461,515,Spain,Male,35,10
15738721,773,Spain,Male,41,9
15693683,814,Germany,Male,29,8
15604348,710,Spain,Male,22,8
15633059,413,France,Male,34,9
15808582,665,France,Female,40,6
15743192,623,France,Female,44,6
15580146,738,France,Male,31,9
15776605,528,Spain,Male,36,7
15804919,670,Spain,Female,65,1
15613854,622,Spain,Female,46,4
15599195,582,Germany,Male,32,1
15812878,785,Germany,Female,36,2
15602312,605,Spain,Male,33,5
15744689,479,Germany,Male,35,9
15803526,685,Germany,Male,30,3
15665790,538,Germany,Male,39,7
15715951,562,France,Male,42,2
15591100,675,Spain,Male,36,9
15609618,721,Germany,Male,28,9
15675522,628,Germany,Female,30,9
15705512,668,Germany,Female,37,6
15698028,506,France,Female,41,1
15661670,524,Germany,Female,31,8
15600781,699,Germany,Male,34,4
15682472,828,France,Male,34,8
15580203,674,Spain,Male,39,6
15690673,656,France,Female,39,6
15760085,684,Germany,Female,48,10
15779659,625,France,Female,28,3
15627360,432,France,Male,42,9
15671137,549,France,Female,52,1
15782688,625,Germany,Male,56,0
15575492,828,France,Female,41,7
15591607,770,France,Male,24,9
15740404,758,France,Female,34,3
15718369,795,Germany,Female,33,9
15677871,687,France,Male,38,9
15642004,686,France,Male,25,1
15712543,789,Germany,Male,39,7
15584518,589,Germany,Female,50,5
15802381,461,Germany,Female,34,5
15610156,637,France,Male,40,2
15594408,584,Spain,Female,48,2
15640905,579,Spain,Female,35,1
15698932,756,Germany,Male,44,10
15724944,663,France,Male,34,7
15628145,682,France,Female,43,5
15713483,793,Spain,Male,52,2
15612350,691,France,Female,31,5
15800703,485,Spain,Female,21,5
15705707,635,Spain,Female,29,8
15754105,650,France,Male,37,5
15703264,735,France,Male,44,9
15794413,416,France,Male,32,0
15650237,754,Spain,Female,32,7
15759618,535,France,Female,48,9
15811589,716,Spain,Male,42,8
15689044,539,France,Male,37,2
15709368,614,France,Female,43,6
15679145,706,Spain,Male,57,7
15655007,758,France,Female,33,7
15623595,586,Spain,Female,28,2
15589975,646,France,Female,73,6
15804017,631,Germany,Female,33,4
15692132,717,Spain,Female,22,6
15641122,684,France,Male,30,2
15630910,800,France,Female,49,7
15680772,721,Spain,Female,36,2
